"Group Name","Patch Name","Files Changed","Upstream","Tracked-On"
"Google Patches","0001-sched-Enable-might_sleep-before-initializing-drivers.patch",1,"Yes",""
"Google Patches","0002-Make-dev-mem-configurable-as-we-don-t-want-it.patch",2,"Yes",""
"Google Patches","0003-mtd-nand-Allow-NAND-chip-ids-to-be-included-standalo.patch",1,"Yes",""
"Google Patches","0004-mmc_block-Allow-more-than-8-partitions-per-card.patch",1,"Yes",""
"Google Patches","0005-drivers-power-Add-watchdog-timer-to-catch-drivers-wh.patch",1,"Yes",""
"Google Patches","0006-process-Add-display-of-memory-around-registers-when-.patch",1,"Yes",""
"Google Patches","0007-Revert-genirq-Do-not-consider-disabled-wakeup-irqs.patch",1,"Yes",""
"Google Patches","0008-PM-Print-pending-wakeup-IRQ-preventing-suspend-to-dm.patch",1,"Yes",""
"Google Patches","0009-panic-Add-board-ID-to-panic-output.patch",2,"Yes",""
"Google Patches","0010-power-Add-option-to-log-time-spent-in-suspend.patch",3,"Yes",""
"Google Patches","0011-ARM-add-option-to-flush-console-before-reboot.patch",2,"Yes",""
"Google Patches","0012-cpuidle-governor-menu-don-t-use-loadavg.patch",1,"Yes",""
"Google Patches","0013-ARM-cache-l2x0-update-workaround-for-PL310-errata-72.patch",2,"Yes",""
"Google Patches","0014-ARM-smp-implement-arch_trigger_all_cpus_backtrace-us.patch",5,"Yes",""
"Google Patches","0015-cgroup-Add-generic-cgroup-subsystem-permission-check.patch",4,"Yes",""
"Google Patches","0016-ARM-Make-low-level-printk-work.patch",1,"Yes",""
"Google Patches","0017-armv6-dcc-tty-driver.patch",3,"Yes",""
"Google Patches","0018-mm-Add-min_free_order_shift-tunable.patch",2,"Yes",""
"Google Patches","0019-Optionally-flush-entire-dcache-from-v6_dma_flush_ran.patch",1,"Yes",""
"Google Patches","0020-android-Add-android-config-documentation-to-boot-fra.patch",1,"Yes",""
"Google Patches","0021-PM-Sleep-Add-wake-lock-api-wrapper-on-top-of-wakeup-.patch",2,"Yes",""
"Google Patches","0022-switch-switch-class-and-GPIO-drivers.patch",7,"Yes",""
"Google Patches","0023-HACK-input-evdev-disable-EVIOCREVOKE.patch",2,"Yes",""
"Google Patches","0024-Input-evdev-Add-ioctl-to-block-suspend-while-event-q.patch",2,"Yes",""
"Google Patches","0025-Add-android_aid.h.patch",1,"Yes",""
"Google Patches","0026-ashmem-Add-shmem_set_file-to-mm-shmem.c.patch",3,"Yes",""
"Google Patches","0027-Paranoid-network.patch",4,"Yes",""
"Google Patches","0029-sysfs_net_ipv4-Add-sysfs-based-knobs-for-controlling.patch",2,"Yes",""
"Google Patches","0030-misc-uidstat-Adding-uid-stat-driver-to-collect-netwo.patch",5,"Yes",""
"Google Patches","0032-Input-Generic-GPIO-Input-device.patch",8,"Yes",""
"Google Patches","0033-input-misc-gpio_event-remove-early-suspend.patch",1,"Yes",""
"Google Patches","0034-input-Add-keyreset-driver.patch",4,"Yes",""
"Google Patches","0035-input-keychord-Add-keychord-driver.patch",4,"Yes",""
"Google Patches","0036-mmc-Add-status-IRQ-and-status-callback-function-to-m.patch",1,"Yes",""
"Google Patches","0037-mmc-sd-Add-new-CONFIG_MMC_PARANOID_SD_INIT-for-enabl.patch",2,"Yes",""
"Google Patches","0038-mmc-Add-concept-of-an-embedded-SDIO-device.patch",7,"Yes",""
"Google Patches","0039-trout-Add-functions-for-WiFi.patch",2,"Yes",""
"Google Patches","0040-mmc-Add-new-API-call-sdio_reset_comm-for-resetting-c.patch",1,"Yes",""
"Google Patches","0041-mmc-sd-When-resuming-try-a-little-harder-to-init-the.patch",1,"Yes",""
"Google Patches","0042-mmc-sd-Add-retries-in-re-detection.patch",1,"Yes",""
"Google Patches","0043-mmc-core-Hold-a-wake-lock-accross-delayed-work-mmc-r.patch",1,"Yes",""
"Google Patches","0044-mmc-mmcblk-Add-support-for-deferred-SD-bus-resume.patch",3,"Yes",""
"Google Patches","0045-mmc-sdio-Claim-host-in-sdio_reset_comm.patch",1,"Yes",""
"Google Patches","0046-mmc-sdio-Add-high-speed-support-to-sdio_reset_comm.patch",1,"Yes",""
"Google Patches","0047-mmc-sdio-Fix-enable_hs-and-enable_wide-in-sdio_reset.patch",1,"Yes",""
"Google Patches","0048-mmc-Add-ignore-mmc-pm-notify-functionality.patch",2,"Yes",""
"Google Patches","0049-Recreate-asm-mach-mmc.h-include-file.patch",1,"Yes",""
"Google Patches","0050-ARM-Add-card_present-state-to-mmc_platfrom_data.patch",1,"Yes",""
"Google Patches","0051-mmc-block-Improve-logging-of-handling-emmc-timeouts.patch",1,"Yes",""
"Google Patches","0052-tiwlan-Add-abstract-wifi-control-functions-support.patch",1,"Yes",""
"Google Patches","0053-fs-block_dump-Don-t-display-inode-changes-if-block_d.patch",1,"Yes",""
"Google Patches","0054-net-add-PPP-on-L2TP-Access-Concentrator-PPPoLAC-driv.patch",6,"Yes",""
"Google Patches","0055-net-add-PPP-on-PPTP-Network-Server-PPPoPNS-driver.patch",6,"Yes",""
"Google Patches","0056-net-PPPoPNS-and-PPPoLAC-fixes.patch",3,"Yes",""
"Google Patches","0057-security-Add-AID_NET_RAW-and-AID_NET_ADMIN-capabilit.patch",2,"Yes",""
"Google Patches","0058-net-Replace-AID_NET_RAW-checks-with-capable-CAP_NET_.patch",2,"Yes",""
"Google Patches","0059-rfkill-Introduce-CONFIG_RFKILL_PM-and-use-instead-of.patch",2,"Yes",""
"Google Patches","0060-serial_core-Add-wake_peer-uart-operation.patch",2,"Yes",""
"Google Patches","0061-proc-smaps-Allow-smaps-access-for-CAP_SYS_RESOURCE.patch",1,"Yes",""
"Google Patches","0062-block-genhd-Add-disk-partition-specific-uevent-callb.patch",2,"Yes",""
"Google Patches","0063-wlan-Extract-generic-wlan-platform-data-from-tiwlan-.patch",2,"Yes",""
"Google Patches","0064-sched-Add-a-generic-notifier-when-a-task-struct-is-a.patch",2,"Yes",""
"Google Patches","0065-staging-android-lowmemorykiller-Fix-task_struct-leak.patch",1,"Yes",""
"Google Patches","0066-net-activity_stats-Add-statistics-for-network-transm.patch",5,"Yes",""
"Google Patches","0067-net-Fix-CONFIG_RPS-option-to-be-turned-off.patch",1,"Yes",""
"Google Patches","0068-Allow-CONFIG_STACKTRACE-to-be-enabled-by-itself.patch",1,"Yes",""
"Google Patches","0069-ARM-Add-fiq_glue.patch",5,"Yes",""
"Google Patches","0070-ARM-Add-generic-fiq-serial-debugger.patch",5,"Yes",""
"Google Patches","0071-staging-remove-Greg-s-TODO-now-obsolete.patch",1,"Yes",""
"Google Patches","0072-Move-x86_64-idle-notifiers-to-generic.patch",4,"Yes",""
"Google Patches","0073-ARM-Call-idle-notifiers.patch",1,"Yes",""
"Google Patches","0074-cpufreq-interactive-New-interactive-governor.patch",5,"Yes",""
"Google Patches","0075-net-Reorder-incoming-packets-in-PPPoLAC-and-PPPoPNS.patch",3,"Yes",""
"Google Patches","0076-ARM-etm-Don-t-require-clock-control.patch",1,"Yes",""
"Google Patches","0077-ARM-etm-Don-t-limit-tracing-to-only-non-secure-code.patch",1,"Yes",""
"Google Patches","0078-ARM-etm-Don-t-try-to-clear-the-buffer-full-status-af.patch",1,"Yes",""
"Google Patches","0079-ARM-etm-Allow-range-selection.patch",1,"Yes",""
"Google Patches","0080-ARM-etm-Configure-data-tracing.patch",2,"Yes",""
"Google Patches","0081-ARM-etm-Add-some-missing-locks-and-error-checks.patch",1,"Yes",""
"Google Patches","0082-ARM-etm-Return-the-entire-trace-buffer-if-it-is-empt.patch",1,"Yes",""
"Google Patches","0083-ARM-etm-Support-multiple-ETMs-PTMs.patch",2,"Yes",""
"Google Patches","0084-ARM-etm-Power-down-etm-s-when-tracing-is-not-enabled.patch",1,"Yes",""
"Google Patches","0085-network-wireless-Add-get_mac_addr-functionality-to-p.patch",1,"Yes",""
"Google Patches","0086-net-wireless-Add-get_country_code-functionality-to-p.patch",1,"Yes",""
"Google Patches","0087-net-wireless-Add-CONFIG_WIFI_CONTROL_FUNC-option.patch",1,"Yes",""
"Google Patches","0088-net-wireless-change-the-expire-time-about-each-entry.patch",1,"Yes",""
"Google Patches","0089-netfilter-add-xt_qtaguid-matching-module.patch",8,"Yes",""
"Google Patches","0090-USB-OTG-Take-wakelock-when-VBUS-present.patch",3,"Yes",""
"Google Patches","0091-netfilter-adding-the-original-quota2-from-xtables-ad.patch",2,"Yes",""
"Google Patches","0092-netfilter-fixup-the-quota2-and-enable.patch",3,"Yes",""
"Google Patches","0093-netfilter-ipv6-fix-crash-caused-by-ipv6_find_hdr.patch",1,"Yes",""
"Google Patches","0094-bridge-Have-tx_bytes-count-headers-like-rx_bytes.patch",1,"Yes",""
"Google Patches","0095-net-Only-NET_ADMIN-is-allowed-to-fully-control-TUN-i.patch",1,"Yes",""
"Google Patches","0096-hid-multitouch-Filter-collections-by-application-usa.patch",1,"Yes",""
"Google Patches","0097-fuse-Freeze-client-on-suspend-when-request-sent-to-u.patch",1,"Yes",""
"Google Patches","0098-HID-Add-input_register-callback.patch",3,"Yes",""
